"Under 20DMA","Volume Over 5MA","Price over 5MA","High Over 5MA","Range over 1.05%","Lower 2DMA","Gain Tomorrow"
"N","N","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","N"
"N","N","Y","Y","N","N","Y"
"N","N","Y","Y","N","Y","Y"
"N","N","Y","Y","N","N","N"
"N","Y","Y","Y","N","N","N"
"N","N","N","N","N","Y","Y"
"N","Y","Y","Y","Y","N","Y"
"N","Y","Y","Y","Y","N","N"
"N","N","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","N"
"N","N","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","N"
"N","N","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","N"
"N","N","Y","Y","N","N","N"
"N","N","N","N","N","Y","Y"
"N","N","Y","N","N","Y","N"
"N","Y","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","N"
"N","Y","Y","Y","N","N","Y"
"N","Y","Y","Y","Y","N","N"
"N","Y","Y","Y","N","N","N"
"N","Y","N","Y","Y","Y","Y"
"N","Y","Y","Y","Y","N","Y"
"N","Y","Y","Y","Y","N","Y"
"N","Y","Y","Y","Y","N","N"
"N","N","Y","Y","Y","N","Y"
"N","N","Y","Y","N","Y","Y"
"N","N","Y","Y","N","N","N"
"N","Y","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","N"
"N","N","Y","Y","N","N","N"
"N","N","N","Y","Y","Y","N"
"N","N","N","N","N","Y","N"
"N","Y","N","N","Y","Y","Y"
"N","N","N","N","N","Y","N"
"Y","N","N","N","Y","Y","N"
"Y","N","N","N","N","Y","Y"
"N","Y","Y","Y","Y","N","N"
"N","Y","Y","Y","Y","N","Y"
"N","N","Y","Y","Y","N","N"
"Y","Y","N","N","Y","Y","Y"
"Y","Y","N","N","Y","Y","N"
"Y","N","N","N","Y","Y","Y"
"Y","N","N","N","N","Y","Y"
"Y","N","N","N","Y","Y","N"
"Y","N","N","N","N","Y","N"
"Y","Y","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","N"
"N","N","Y","Y","N","Y","N"
"N","N","N","N","N","Y","Y"
"N","N","N","N","N","N","N"
"N","N","N","N","N","Y","N"
"Y","Y","N","N","N","Y","N"
"Y","Y","N","N","N","Y","Y"
"Y","Y","N","N","N","N","N"
"Y","N","N","N","N","N","N"
"Y","N","N","N","N","Y","Y"
"N","Y","Y","Y","Y","N","Y"
"N","Y","Y","Y","N","N","N"
"N","Y","Y","Y","N","Y","Y"
"N","N","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","N"
"N","N","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","N"
"N","Y","N","Y","N","Y","Y"
"N","Y","Y","Y","N","N","N"
"N","Y","N","Y","N","N","Y"
"N","N","N","N","N","Y","N"
"N","N","N","N","N","Y","Y"
"N","N","N","N","N","N","Y"
"N","N","Y","Y","N","N","N"
"N","N","Y","Y","N","Y","Y"
"N","N","Y","N","N","N","N"
"N","N","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","N"
"N","Y","N","Y","N","Y","Y"
"Y","N","N","N","N","Y","N"
"Y","N","N","N","N","Y","N"
"Y","Y","N","N","N","Y","N"
"Y","N","N","N","N","Y","Y"
"Y","Y","Y","N","Y","N","N"
"Y","N","Y","N","N","N","Y"
"Y","Y","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","N"
"Y","Y","Y","Y","N","N","N"
"N","Y","Y","Y","Y","N","Y"
"N","N","Y","Y","N","N","N"
"N","N","Y","Y","N","Y","N"
"N","N","N","N","Y","Y","Y"
"N","N","N","N","N","Y","N"
"Y","Y","N","N","Y","Y","N"
"Y","Y","N","N","N","Y","Y"
"Y","N","N","N","N","Y","Y"
"Y","Y","Y","N","Y","N","Y"
"N","Y","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","N"
"N","N","Y","Y","N","Y","N"
"Y","N","N","N","N","Y","Y"
"Y","Y","N","N","N","Y","Y"
"Y","Y","N","N","N","Y","N"
"Y","N","N","N","N","Y","Y"
"Y","N","N","N","N","Y","N"
"Y","N","N","N","N","N","N"
"Y","N","N","N","N","Y","Y"
"Y","N","Y","N","N","N","N"
"Y","N","N","N","N","N","Y"
"Y","Y","Y","Y","N","N","N"
"Y","Y","N","Y","N","Y","N"
"Y","Y","N","N","N","Y","N"
"Y","Y","N","N","N","Y","N"
"Y","N","N","N","N","Y","N"
"Y","Y","N","N","N","Y","Y"
"Y","Y","Y","N","N","N","N"
"Y","N","N","N","N","N","Y"
"Y","N","Y","Y","N","N","Y"
"Y","N","Y","Y","N","N","Y"
"Y","N","Y","Y","N","N","N"
"Y","N","N","Y","N","Y","Y"
"Y","N","N","N","N","Y","N"
"Y","N","N","N","N","N","N"
"Y","Y","Y","Y","N","N","N"
"Y","Y","Y","Y","N","N","N"
"Y","Y","Y","N","N","Y","Y"
"Y","Y","Y","N","N","N","N"
"Y","N","N","Y","N","Y","Y"
"N","Y","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","N"
"N","N","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","N"
"N","N","Y","Y","N","N","Y"
"N","N","Y","Y","N","Y","Y"
"N","Y","Y","Y","N","N","N"
"N","N","N","N","N","Y","N"
"N","Y","N","N","N","Y","N"
"Y","Y","N","N","N","Y","Y"
"N","N","N","N","N","Y","Y"
"N","Y","Y","Y","N","N","N"
"N","Y","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","N"
"N","Y","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","N"
"N","N","Y","Y","N","N","Y"
"N","N","Y","Y","N","Y","N"
"N","N","N","N","N","N","N"
"N","N","N","N","N","N","Y"
"N","N","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","N"
"N","N","Y","Y","N","N","N"
"N","N","Y","Y","N","Y","N"
"N","N","N","N","N","Y","Y"
"N","N","Y","N","N","Y","Y"
"N","Y","Y","Y","N","N","N"
"N","Y","Y","Y","N","N","Y"
"N","N","Y","Y","N","Y","Y"
"N","N","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","N"
"N","Y","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","Y"
"N","Y","Y","Y","Y","N","N"
"N","Y","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","N"
"N","N","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","N"
"N","N","Y","Y","N","N","N"
"N","N","Y","Y","N","Y","Y"
"N","N","Y","Y","N","N","N"
"N","Y","Y","Y","N","N","N"
"N","Y","N","Y","Y","Y","Y"
"N","N","Y","N","N","Y","N"
"N","N","N","N","N","N","Y"
"N","N","N","N","N","Y","N"
"N","N","N","N","N","Y","N"
"N","Y","N","N","N","Y","Y"
"N","N","N","N","N","Y","Y"
"N","N","Y","Y","N","N","Y"
"N","Y","Y","Y","Y","N","N"
"N","N","Y","Y","N","N","N"
"N","N","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","N"
"N","Y","Y","Y","N","N","N"
"N","Y","N","Y","N","Y","N"
"N","N","N","N","N","Y","N"
"N","N","N","N","N","Y","Y"
"N","N","Y","N","N","N","N"
"N","N","N","N","N","N","Y"
"N","Y","Y","N","N","Y","N"
"N","N","Y","Y","N","N","N"
"N","N","N","N","N","Y","N"
"N","N","N","N","N","Y","Y"
"N","Y","Y","Y","N","N","N"
"N","Y","Y","Y","N","N","N"
"N","N","Y","Y","N","N","N"
"N","N","Y","Y","N","Y","Y"
"N","Y","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","N"
"N","Y","Y","Y","N","N","N"
"N","Y","N","N","N","Y","N"
"Y","N","N","N","N","Y","Y"
"Y","N","N","N","N","Y","N"
"Y","N","N","N","N","N","N"
"Y","N","N","N","N","Y","N"
"Y","Y","N","N","N","Y","Y"
"Y","N","N","N","N","Y","Y"
"N","Y","Y","Y","N","N","N"
"Y","N","Y","Y","N","N","Y"
"Y","N","Y","Y","N","Y","N"
"Y","N","N","Y","N","Y","N"
"Y","N","N","N","N","Y","N"
"Y","Y","N","N","N","Y","N"
"Y","Y","N","N","N","Y","N"
"Y","Y","N","N","N","Y","Y"
"Y","Y","Y","N","N","N","N"
"Y","Y","N","Y","N","Y","Y"
"Y","N","N","N","N","Y","N"
"Y","N","N","N","N","N","Y"
"Y","Y","N","N","N","Y","N"
"Y","N","N","N","N","Y","N"
"Y","N","N","N","N","Y","Y"
"Y","N","N","N","N","Y","Y"
"Y","Y","Y","Y","N","N","Y"
"Y","N","Y","Y","N","N","Y"
"Y","N","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","N"
"N","N","Y","Y","N","N","N"
"N","Y","Y","Y","N","Y","Y"
"N","N","N","N","N","Y","Y"
"N","N","Y","Y","N","N","N"
"N","Y","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","N"
"N","Y","N","Y","N","Y","Y"
"N","Y","N","N","N","Y","N"
"N","N","N","N","N","Y","Y"
"N","N","N","N","N","N","Y"
"N","N","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","N"
"N","Y","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","N"
"N","N","Y","Y","N","N","N"
"N","N","Y","Y","N","Y","N"
"N","N","N","N","N","Y","Y"
"N","N","N","N","N","Y","Y"
"N","Y","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","N"
"N","Y","N","Y","N","Y","N"
"N","Y","N","N","N","Y","N"
"N","N","N","N","N","N","N"
"N","N","N","N","N","N","N"
"N","N","N","N","N","Y","N"
"Y","Y","N","N","N","Y","N"
"Y","Y","N","N","N","Y","N"
"Y","Y","N","N","N","Y","N"
"Y","Y","N","N","N","Y","Y"
"Y","N","Y","N","N","N","N"
"Y","N","Y","Y","N","N","Y"
"Y","N","Y","Y","N","N","N"
"Y","Y","N","Y","N","Y","N"
"N","Y","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","N"
"N","N","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","N"
"N","Y","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","N"
"N","N","Y","Y","N","N","N"
"N","N","Y","Y","N","Y","N"
"N","Y","N","N","N","Y","Y"
"N","N","Y","N","N","N","N"
"N","N","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","N"
"N","Y","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","N"
"N","N","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","N"
"N","Y","Y","Y","N","N","N"
"N","Y","N","Y","Y","Y","Y"
"N","Y","N","N","N","Y","Y"
"N","N","N","N","N","N","Y"
"N","N","Y","N","N","N","N"
"N","N","N","Y","N","Y","N"
"Y","Y","N","Y","N","Y","N"
"Y","Y","N","N","N","Y","Y"
"N","N","Y","N","N","N","N"
"N","N","Y","Y","N","N","N"
"N","N","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","N"
"N","Y","Y","Y","Y","N","Y"
"N","N","Y","Y","N","Y","N"
"N","N","N","Y","N","N","Y"
"N","N","Y","N","N","N","N"
"N","N","Y","N","N","N","N"
"N","N","N","N","N","Y","Y"
"N","N","N","N","N","Y","N"
"N","Y","N","N","N","Y","N"
"Y","Y","N","N","N","Y","Y"
"N","Y","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","Y"
"N","N","Y","Y","N","N","N"
"N","N","N","Y","N","Y","Y"
"N","N","N","N","N","Y","Y"
"N","N","N","N","N","N","N"
"N","Y","N","N","N","Y","N"
"Y","Y","N","N","N","Y","N"
"Y","Y","N","N","Y","Y","Y"
"Y","Y","N","N","Y","Y","Y"
"Y","N","Y","Y","N","N","N"
"Y","N","Y","Y","Y","N","N"
"Y","N","Y","N","N","Y","N"
"Y","N","N","N","N","N","N"
"Y","N","N","N","N","Y","Y"
"Y","Y","Y","N","N","Y","Y"
"Y","Y","N","N","N","Y","N"
"Y","N","N","N","N","Y","N"
"Y","Y","N","N","Y","Y","N"
"Y","N","N","N","N","Y","N"
"Y","Y","N","N","Y","Y","Y"
"Y","Y","N","N","N","Y","N"
"Y","N","N","N","Y","Y","Y"
"Y","Y","N","N","N","Y","N"
"Y","Y","N","N","N","Y","N"
"Y","N","N","N","N","Y","Y"
"Y","N","N","N","N","Y","Y"
"Y","Y","Y","Y","Y","N","N"
"Y","N","Y","Y","N","N","Y"
"Y","N","Y","Y","N","N","N"
"Y","N","Y","Y","N","Y","Y"
"Y","N","Y","Y","N","N","Y"
"Y","N","Y","Y","N","N","Y"
"N","Y","Y","Y","N","N","N"
"Y","Y","N","Y","Y","Y","N"
"Y","N","N","N","N","Y","Y"
"N","Y","Y","N","Y","N","N"
"N","N","Y","Y","N","N","N"
"N","N","N","N","N","Y","N"
"Y","N","N","N","N","Y","N"
"Y","N","N","N","N","Y","N"
"Y","Y","N","N","N","Y","N"
"Y","Y","N","N","N","Y","N"
"Y","N","N","N","N","Y","Y"
"Y","Y","Y","Y","Y","N","N"
"Y","N","Y","Y","N","N","N"
"Y","N","N","N","N","Y","Y"
"Y","N","N","N","N","Y","Y"
"Y","N","Y","Y","N","N","N"
